Date,AZN.L,BAB.L,BBY.L,BP.L,CNA.L,CPG.L,CPI.L,CRDA.L,DRX.L,ELM.L,ENOG.L,ESNT.L,FGP.L,FORT.L,FSJ.L,FSTA.L,FUTR.L,GFRD.L,GSK.L,IAG.L,INCH.L,INF.L,ITV.L,JMAT.L,KIE.L,MTO.L,NG.L,OXB.L,OXIG.L,PETS.L,PSN.L,SBRY.L,SGE.L,SGRO.L,SMIN.L,SMWH.L,SPI.L,SSE.L,SYNT.L,TPK.L,TSCO.L,TTG.L,UU.L,WINE.L,XPS.L,^FTSE,,,,
01/02/2019,5570.665527,534.7578125,275.5684814,519.4325562,135.4240265,1630.294678,1752.749878,5053.9873046875,402.1824646,184.9480896,610.6484375,375.3170471,92.2443924,269.9360962,1921.549683,1072.455078,531.7579346,75.63384247,1488.787842,652.0419922,581.2435303,682.1342163,131.3165436,3037.416016,438.3881226,59.74272537,830.7830811,688.2000122,926.4533081,131.1581268,2399.500488,285.8045044,625.7337036,644.6566162,1465.358765,1942.082031,125.4321899,1176.395142,2485.521729,1158.588379,279.8474121,204.6512756,833.5716553,277.936615,147.0363922,7020.200195,,,,
04/02/2019,5557.69043,537.3556519,276.6668091,518.0380249,136.5217743,1652.271973,1752.749878,5093.87060546875,404.7746277,186.8465118,615.4276123,375.7158508,95.44072723,266.9422913,1899.554932,1072.455078,561.7443237,75.060112,1485.375366,657.4324951,583.7380371,688.9276123,130.7683563,3051.381592,445.2245789,62.36702728,827.8928833,705,934.4485474,130.8588867,2390.543213,287.4981384,641.7064819,645.654541,1473.843628,1952.072266,126.7314911,1177.391724,2496.507324,1152.447998,279.2171936,202.6546936,826.3944092,275.4371643,139.0615082,7034.100098,,,,
05/02/2019,5698.428223,542.5512695,278.6635742,544.8312378,140.2641602,1690.232056,1739.999878,5180.79638671875,408.1643372,184.8481598,626.5792236,377.3112793,94.39192963,267.4412842,1903.553833,1057.490356,567.7415161,75.16443634,1528.130249,662.223999,584.7359619,698.7180786,133.309967,3106.244385,434.1153259,64.93991852,844.4367676,704.7999878,942.4438477,128.0661774,2421.395508,291.7816162,651.2901001,639.8664551,1498.299561,1977.047485,127.9308472,1192.3396,2585.766602,1177.480713,284.5115662,204.6512756,830.182373,276.4369507,142.0521088,7177.399902,,,,
06/02/2019,5679.464355,545.1491699,282.9569397,551.8034058,137.9189301,1694.227905,1781.249878,5178.75048828125,410.7565308,185.8473358,642.2113037,378.9066467,94.44187927,273.9277344,1911.552002,1057.490356,585.7333374,75.89468384,1553.622681,666.4165649,586.2327271,692.1244507,132.4129639,3090.28418,431.5516357,65.60890961,841.0482788,715,941.4445801,127.1685028,2429.357422,291.4828186,654.2850342,641.8625488,1490.313843,1978.046509,127.3311768,1180.38147,2559.675537,1163.783691,289.553894,194.8679504,826.9924316,274.9372864,135.5725403,7173.100098,,,,
07/02/2019,5641.53418,525.9651489,280.3609924,545.130249,138.7672119,1756.163452,1685.249878,5127.6171875,398.5933838,184.4485016,646.6918945,372.525116,91.79490662,269.9360962,1877.559937,1064.972656,559.7451782,74.43418884,1552.016846,662.822937,579.7467651,680.7355347,128.7250977,2992.52832,426.2533875,64.99143219,842.0448608,671,945.4419556,126.4703217,2366.658203,289.7893372,633.6252441,649.8459473,1472.346436,1978.046509,126.531601,1169.419678,2502.000244,1141.584839,287.1588135,193.4703369,827.789978,273.4376221,138.0646667,7093.600098,,,,
08/02/2019,5685.453613,518.571106,274.5700684,541.8433228,135.9230042,1747.172729,1679.999878,5125.572265625,396.7987976,187.8457031,642.2113037,373.3227844,92.0446167,264.9465027,1833.570313,1072.455078,563.7432861,72.39992523,1570.483521,653.8388672,573.7596436,679.3369751,130.2201843,2946.642822,418.220459,64.8369751,839.3540649,668.5999756,942.4438477,126.5700836,2387.557861,290.7854919,640.6143188,648.2490845,1461.865234,1978.046509,127.2312241,1166.928223,2475.90918,1149.141968,282.6207275,194.4686127,818.0206909,269.9384155,138.5630951,7071.200195,,,,
11/02/2019,5670.47998,522.5678711,281.359436,542.1420898,136.4718933,1744.175659,1724.999878,5209.431640625,398.1945801,188.545105,653.4625244,372.325592,92.69387054,265.4454041,1849.56665,1087.419434,563.7432861,73.39092255,1555.629883,662.423584,591.2219238,693.7229004,131.5657501,2992.52832,418.7332458,65.04284668,841.1480713,660.5999756,944.442688,129.1633301,2433.338623,292.7778625,646.6051636,650.843811,1475.34082,1988.036743,126.6315536,1169.917725,2504.746582,1194.956299,283.6291199,188.2791748,820.8120728,269.9384155,137.0678558,7129.100098,,,,
12/02/2019,5713.400879,528.163147,283.1565552,543.038269,138.0686493,1743.67627,1739.999878,5203.29443359375,398.1945801,188.0455322,653.1637573,375.3170471,92.09455872,264.4475708,1789.580688,1079.937378,565.7423706,75.11227417,1552.418091,651.4431152,590.7230225,695.9207764,131.5159302,2992.52832,427.2788696,65.76325989,842.4436035,645.0999756,970.4273682,129.3628082,2383.577148,282.81604,639.0169067,640.664978,1464.859985,2014.010986,121.4343567,1187.855347,2511.612549,1190.233521,281.7382813,197.263855,811.4414673,272.4378662,138.0646667,7133.100098,,,,
13/02/2019,5710.40625,548.7462769,284.2549744,549.0147705,137.9688416,1756.662598,1775.999878,5242.1552734375,397.7957458,191.7424927,672.081543,375.51651,93.04347992,261.4537964,1819.573608,1067.466919,563.7432861,79.6503067,1552.618896,656.8334961,602.6972656,700.3164673,133.2103271,3010.48291,436.2516479,64.7855835,839.9520874,674.5999756,997.411499,129.0635986,2421.395508,280.9233093,653.9938965,643.4590454,1476.339111,2025.999146,121.7341995,1189.848389,2570.661133,1202.513428,276.3178406,189.6767883,813.036499,269.9384155,139.5599823,7190.799805,,,,
14/02/2019,6137.61377,552.5430908,284.3546448,538.8310547,139.1664124,1754.165405,1726.499878,5276.92578125,394.8048401,191.9423676,662.1248169,375.1176147,93.89250183,263.4496765,1791.5802,1087.419434,565.7423706,73.54740906,1571.688232,648.6480103,598.7057495,709.9070435,134.3067017,3018.463867,427.2788696,63.80786514,846.7290039,709.9000244,999.4102783,131.9560242,2391.538818,282.7163696,661.7818604,646.8521729,1477.337524,2027.997192,124.1329041,1193.336182,2610.484619,1206.764404,274.6790771,192.8713074,817.0238037,274.4374084,137.0678558,7197,,,,
15/02/2019,6229.443359,551.9436035,281.8586121,541.4212646,137.2702637,1741.678345,1754.999878,5274.88134765625,371.2760315,195.4394684,658.9385986,377.3112793,95.84026337,260.954834,1797.578735,1052.502563,555.7469482,71.77391052,1586.742188,662.62323,604.6928101,703.9129639,132.6621399,3087.291992,433.6879883,63.13895416,839.3540649,697.5999756,999.4102783,131.8562927,2393.529297,285.1072388,657.9877319,638.6690674,1488.81665,2027.997192,123.4332733,1194.332642,2672.278809,1201.096802,282.6207275,194.6682892,814.4321289,269.9384155,139.5599823,7236.700195,,,,
18/02/2019,6144.601563,558.1384277,282.3578796,535.9423828,137.1704712,1728.691772,1749.749878,5278.97216796875,377.6566772,197.3378754,660.133606,379.5049744,91.39535522,265.4454041,1843.567993,1062.478638,569.7406006,71.56531525,1576.706421,648.6480103,606.6884766,704.5123291,132.6122742,3105.246582,428.9880066,63.96221542,839.4536743,662.0999756,1023.396057,136.8433228,2408.458252,284.7088013,658.9862671,652.8395996,1479.333618,2037.987427,125.1323547,1197.820313,2710.729492,1203.93042,281.4861755,195.6665955,827.789978,272.4378662,136.0709686,7219.5,,,,
19/02/2019,6081.718262,547.3473511,281.359436,534.7467041,138.5177307,1714.207275,1754.999878,5188.978515625,381.0464478,193.3411865,659.8348389,376.1147766,95.34085083,264.4475708,1849.56665,1084.925415,687.6868896,73.44309235,1576.304688,642.6586914,604.1939087,706.510376,131.8647461,3096.269043,431.1243591,64.16808319,842.4436035,678.4000244,999.4102783,137.0427704,2419.404785,286.8007202,658.9862671,645.654541,1458.37146,2037.987427,123.4332733,1196.823975,2680.518555,1206.29187,285.6460571,197.6631775,843.5402832,277.936615,135.0740814,7179.200195,,,,
20/02/2019,6131.625,559.3374634,277.7650757,537.3369751,136.9209595,1729.191284,1746.749878,5199.2041015625,379.6506958,197.7375793,655.2546997,383.2940369,93.49295044,263.4496765,1827.571655,1087.419434,685.6878052,72.60848236,1579.717163,648.8478394,611.178833,714.3029175,134.5060425,3195.023438,433.2608032,64.99143219,844.8353882,660,1001.409119,142.1295013,2429.357422,233.6046448,661.5821533,635.2762451,1459.369873,2057.967529,125.2323074,1186.360229,2714.849121,1220.933716,286.654541,194.6682892,849.7208862,275.4371643,141.0552368,7228.600098,,,,
21/02/2019,6084.712402,561.3358154,281.459259,536.8388672,120.9036102,1732.687744,1748.249878,5184.88623046875,366.0917053,192.7416687,652.1679077,382.6957703,93.14336395,262.9507141,1857.564697,1062.478638,679.6904907,74.48633575,1543.866089,643.2576904,606.6884766,720.6965942,132.8614807,3146.144775,429.4151917,65.40304565,852.1108398,630.0999756,999.4102783,145.7201538,2448.266846,232.5088196,656.9892578,640.664978,1428.425537,2063.96167,125.532135,1185.364014,2680.518555,1213.376831,285.0157776,195.6665955,847.3284302,288.4342041,138.0646667,7167.399902,,,,
22/02/2019,6147.595703,571.5272827,281.2595215,535.0456543,122.300766,1724.196655,1727.999878,5193.06787109375,366.8893127,193.7408447,648.7827759,381.499176,92.74381256,269.4370728,1855.565186,1087.419434,677.6914673,72.97366333,1542.059448,643.8565674,607.1873779,723.0942383,133.5093079,3176.070068,434.5425415,65.35164642,858.6884155,640,1005.406677,145.6204224,2456.22876,232.7080841,662.7803955,648.8479614,1445.394653,2069.956055,125.7320328,1177.890137,2686.011475,1192.594971,280.8559265,195.6665955,850.1195068,282.9354553,139.5599823,7178.600098,,,,
25/02/2019,6278.353027,576.1235352,278.9631958,534.946106,124.8455811,1711.210083,1730.249878,5174.66015625,372.4724731,195.2396088,654.0598755,381.499176,92.64393616,264.4475708,1809.575928,1077.442993,683.6887817,72.97366333,1540.252441,643.8565674,605.6906128,721.2959595,131.8647461,3217.966064,437.1062317,66.74095154,854.9013672,628.0999756,1003.407837,144.8224945,2340.781738,234.3019562,663.9785156,648.6483154,1457.373291,2071.953857,128.0307922,1180.38147,2673.652344,1199.67981,281.6122742,196.6649017,848.1258545,279.4362488,137.5662231,7183.700195,,,,
26/02/2019,6259.388184,549.5455322,291.1440735,530.9614868,125.4942703,1692.72937,1765.499878,4991.6044921875,368.8833313,191.6425934,646.0944824,383.2940369,91.44532013,266.9422913,1891.556641,1074.949097,685.6878052,76.0512085,1517.967773,615.90625,607.1873779,715.3018799,130.8680573,3202.005615,443.0881958,66.12347412,855.8978882,608.5999756,1011.403259,144.0245819,2384.572021,232.9073029,663.3795776,652.8395996,1448.888672,2107.917969,130.1296387,1184.865601,2673.652344,1349.875732,287.9150696,194.8679504,847.3284302,287.9343262,139.0615082,7151.100098,,,,
27/02/2019,6271.366699,533.758667,288.3484802,531.9575195,126.3924332,1665.258301,1829.999878,4886.26953125,363.1008301,187.2461853,650.6744385,377.5106812,90.2966156,281.9110718,1915.551025,1057.490356,681.6896362,77.98110962,1506.72522,599.1360474,592.2199097,699.3175049,126.8313751,3136.169189,448.2155151,68.43907928,849.8186646,615,1003.407837,147.5154877,2440.304932,230.1180267,658.786499,650.2449341,1436.410889,2081.944092,127.2312241,1194.830933,2637.948975,1368.295776,288.7975464,183.6869812,836.5623779,287.4344482,138.0646667,7107.200195,,,,
28/02/2019,6129.06543,540.5530396,287.5497131,532.3560181,124.2467957,1663.260376,1859.999878,4920.017578125,363.6989136,179.3526764,655.4537964,375.7158508,89.24782562,281.9110718,1989.533813,1069.960693,685.6878052,77.14652252,1503.111328,597.9381714,563.78125,704.5123291,130.6687164,3085.296631,445.6518555,66.32933044,845.0348511,669.5,1009.442566,151.0063629,2421.395508,228.1256561,659.9846191,659.6253662,1427.92627,2095.93042,127.4311142,1184.367554,2611.85791,1356.488037,284.8898315,177.6972198,837.5592041,293.433075,134.5756836,7074.700195,,,,
01/03/2019,6175.987793,549.5455322,292.8414612,530.9614868,123.1989441,1685.736694,1889.999878,4998.76220703125,375.2639465,179.8522797,672.5794678,386.883728,90.84598541,294.3850098,2039.522095,1082.43103,755.6559448,80.84999084,1516.160767,601.9310913,576.7532959,701.3154297,135.7021027,3141.157471,454.1973877,66.89530945,846.4302368,639.5,1019.437073,153.5996399,2421.395508,230.9149323,664.3779297,653.6378174,1441.901245,2123.902832,134.6272278,1199.813599,2727.207764,1368.768311,289.0496216,190.4754181,840.7491455,292.4332886,139.5599823,7106.700195,,,,
04/03/2019,6201.947266,555.5405884,291.1440735,534.0495605,123.2488327,1680.741943,1860.749878,4995.69580078125,375.0645142,176.8547516,703.3459473,383.6928711,91.34541321,289.8943787,2139.498779,1057.490356,749.6586914,81.37165833,1514.153442,572.9824829,593.2175903,713.7033691,137.0476379,3176.070068,455.0519714,67.15260315,845.7323608,663,1009.442566,159.0853424,2448.266846,232.8076935,664.7774048,652.4403687,1460.367798,2127.898682,132.728241,1197.820313,2506.119873,1374.435913,288.9235535,191.4737244,842.3440552,286.4346619,134.5756836,7134.399902,,,,
05/03/2019,6286.80957,553.9418945,291.6433411,536.2411499,122.8995361,1698.223877,1868.249878,4996.71728515625,376.0615845,163.0660553,694.9820557,382.296875,91.34541321,293.3871155,2114.504639,1079.937378,751.6577759,80.84999084,1521.782593,573.9807129,586.7316895,711.5055542,133.8083344,3177.067627,447.3609924,68.90222931,847.1278076,669,1009.442566,152.5024872,2459.214111,230.1180267,666.3748779,657.4299927,1464.360718,2137.88916,131.8287354,1203.799683,2626.962891,1383.88208,292.3270874,201.6563873,851.5151978,292.933197,134.5756836,7183.399902,,,,
06/03/2019,6295.79541,544.5497437,294.5387573,535.9423828,121.5024033,1698.223877,1811.999878,4958.87841796875,377.0585022,166.1635132,695.5795288,382.8951416,91.2455368,295.3829651,2094.509277,1067.466919,747.6596069,79.70246887,1514.956299,571.5849609,591.7208862,710.906189,133.9080353,3166.094971,453.342865,72.09261322,843.4401855,698.2999878,1039.426025,152.5024872,2421.395508,231.1141968,663.1797485,654.2366943,1452.881226,2135.891113,131.6288605,1199.813599,2644.814697,1372.546753,292.8313599,202.1555481,849.920105,291.9334106,137.5662231,7196,,,,
